source_id,target_id,link_type
tests/test_validate_targets.py,pytest,IMPORTS
tests/test_validate_targets.py,re,IMPORTS
tests/test_validate_targets.py,rstr,IMPORTS
tests/test_validate_targets.py,sherlock_project.sherlock,IMPORTS
tests/test_validate_targets.py,sherlock_project.notify,IMPORTS
tests/test_validate_targets.py,sherlock_project.result,IMPORTS
tests/test_validate_targets.py::set_pattern_upper_bound,re.sub,CALLS
tests/test_validate_targets.py::set_pattern_upper_bound::replace_upper_bound,int,CALLS
tests/test_validate_targets.py::set_pattern_upper_bound::replace_upper_bound,match.group,CALLS
tests/test_validate_targets.py::false_positive_check,range,CALLS
tests/test_validate_targets.py::false_positive_check,QueryNotify,CALLS
tests/test_validate_targets.py::false_positive_check,rstr.xeger,CALLS
tests/test_validate_targets.py::false_positive_check,sherlock,CALLS
tests/test_validate_targets.py::false_positive_check,hasattr,CALLS
tests/test_validate_targets.py::false_positive_check,TypeError,CALLS
tests/test_validate_targets.py::false_positive_check,type,CALLS
tests/test_validate_targets.py::false_negative_check,QueryNotify,CALLS
tests/test_validate_targets.py::false_negative_check,sherlock,CALLS
tests/test_validate_targets.py::false_negative_check,hasattr,CALLS
tests/test_validate_targets.py::false_negative_check,TypeError,CALLS
tests/test_validate_targets.py::false_negative_check,type,CALLS
tests/test_validate_targets.py::Test_All_Targets::test_false_pos,set_pattern_upper_bound,CALLS
tests/test_validate_targets.py::Test_All_Targets::test_false_pos,false_positive_check,CALLS
tests/test_validate_targets.py::Test_All_Targets::test_false_neg,false_negative_check,CALLS
tests/test_version.py,os,IMPORTS
tests/test_version.py,sherlock_interactives,IMPORTS
tests/test_version.py,sherlock_project,IMPORTS
tests/test_version.py::test_versioning,Interactives.run_cli,CALLS
tests/test_version.py::test_versioning,Interactives.walk_sherlock_for_files_with,CALLS
tests/test_version.py::test_versioning,os.path.normpath,CALLS
tests/test_version.py::test_versioning,sorted,CALLS
tests/test_manifest.py,os,IMPORTS
tests/test_manifest.py,json,IMPORTS
tests/test_manifest.py,pytest,IMPORTS
tests/test_manifest.py,jsonschema,IMPORTS
tests/test_manifest.py::test_validate_manifest_against_local_schema,os.path.join,CALLS
